"Key","Rule","Severity","Component","Project","Status","Message","Line","TextRange","Type","Effort","CreationDate","UpdateDate","Tags","URL"
"AZeQdViPyR1Wrs09NuDB","python:S1135","INFO","w159_unstract:backend/connector_auth_v2/models.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","22","22:8-22:35","CODE_SMELL","0min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdViPyR1Wrs09NuDB"
"AZeQdViPyR1Wrs09NuDC","python:S1135","INFO","w159_unstract:backend/connector_auth_v2/models.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","55","55:8-55:35","CODE_SMELL","0min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdViPyR1Wrs09NuDC"
"AZeQdViFyR1Wrs09NuC-","python:S1135","INFO","w159_unstract:backend/connector_auth_v2/pipeline/common.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","110","110:8-110:69","CODE_SMELL","0min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdViFyR1Wrs09NuC-"
"AZeQdViKyR1Wrs09NuC_","python:S1854","MAJOR","w159_unstract:backend/connector_auth_v2/pipeline/google.py","w159_unstract","OPEN","Remove this assignment to local variable 'token_expiry'; the value is never used.","13","13:8-13:47","CODE_SMELL","1min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","cwe, unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdViKyR1Wrs09NuC_"
"AZeQdViKyR1Wrs09NuDA","python:S6903","CRITICAL","w159_unstract:backend/connector_auth_v2/pipeline/google.py","w159_unstract","OPEN","Don't use `datetime.datetime.utcfromtimestamp` to create this datetime object.","17","17:24-17:67","CODE_SMELL","5min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","datetime, pitfall","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdViKyR1Wrs09NuDA"
"AZeQdVdWyR1Wrs09NuCH","python:S5720","CRITICAL","w159_unstract:backend/connector_processor/connector_processor.py","w159_unstract","OPEN","Rename ""connector_id"" to ""self"" or add the missing ""self"" parameter.","130","130:36-130:53","CODE_SMELL","5min","2/25/2024 5:49:36 AM","6/20/2025 11:06:35 PM","confusing, convention, suspicious","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVdWyR1Wrs09NuCH"
"AZeQdVg_yR1Wrs09NuCj","python:S1135","INFO","w159_unstract:backend/connector_v2/models.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","30","30:4-30:40","CODE_SMELL","0min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVg_yR1Wrs09NuCj"
"AZeQdVg_yR1Wrs09NuCk","python:S1135","INFO","w159_unstract:backend/connector_v2/models.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","55","55:4-55:50","CODE_SMELL","0min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVg_yR1Wrs09NuCk"
"AZeQdVg_yR1Wrs09NuCl","python:S1135","INFO","w159_unstract:backend/connector_v2/models.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","87","87:4-87:28","CODE_SMELL","0min","9/25/2024 3:41:27 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVg_yR1Wrs09NuCl"
"AZeQdVg0yR1Wrs09NuCe","python:S1192","CRITICAL","w159_unstract:backend/connector_v2/tests/connector_tests.py","w159_unstract","OPEN","Define a constant instead of duplicating this literal ""2023-06-14T05:28:47.759Z"" 9 times.","42","42:27-42:53","CODE_SMELL","18min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","design","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVg0yR1Wrs09NuCe"
"AZeQdVg0yR1Wrs09NuCf","python:S125","MAJOR","w159_unstract:backend/connector_v2/tests/connector_tests.py","w159_unstract","OPEN","Remove this commented out code.","227","227:4-227:41","CODE_SMELL","5min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVg0yR1Wrs09NuCf"
"AZeQdVg0yR1Wrs09NuCg","python:S125","MAJOR","w159_unstract:backend/connector_v2/tests/connector_tests.py","w159_unstract","OPEN","Remove this commented out code.","251","251:4-251:41","CODE_SMELL","5min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVg0yR1Wrs09NuCg"
"AZeQdVhEyR1Wrs09NuCm","python:S1135","INFO","w159_unstract:backend/connector_v2/unstract_account.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","11","11:0-11:44","CODE_SMELL","0min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVhEyR1Wrs09NuCm"
"AZeQdVg5yR1Wrs09NuCh","python:S1135","INFO","w159_unstract:backend/connector_v2/views.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","79","79:8-79:80","CODE_SMELL","0min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVg5yR1Wrs09NuCh"
"AZeQdVg5yR1Wrs09NuCi","python:S1135","INFO","w159_unstract:backend/connector_v2/views.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","98","98:8-98:80","CODE_SMELL","0min","7/18/2024 10:09:35 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVg5yR1Wrs09NuCi"
"AZeQdVhKyR1Wrs09NuCn","python:S1135","INFO","w159_unstract:backend/file_management/file_management_helper.py","w159_unstract","OPEN","Complete the task associated to this ""TODO"" comment.","51","51:8-51:59","CODE_SMELL","0min","2/25/2024 5:49:36 AM","6/20/2025 11:06:35 PM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVhKyR1Wrs09NuCn"
